 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
-649.6,408.7491162069956,167075.84,-608.0,-1216,-48,350.72,-2848.0,522.296467535441,272793.6,-2848.0,-3520,-2176,460.8,8128.0,237.74944794888592,56524.8,8176.0,7792,8400,217.6,8636.982584213076,Backhand Tennis
-2448.0,790.1473280344622,624332.8,-2336.0,-3888,-1552,595.2,-6601.6,2148.141671305689,4614512.64,-6208.0,-9824,-3824,1899.52,9891.2,1370.160632918637,1877340.16,9728.0,8048,11840,1207.0400000000004,12141.238157618027,Backhand Tennis
-5952.0,846.1564867091665,715980.8000000002,-5888.0,-7264,-4832,716.8,-11980.8,1328.6899412579296,1765416.9600000004,-12080.0,-13424,-10176,1194.2400000000002,12726.4,439.6478590872472,193290.24,12624.0,12192,13408,391.68,18464.2121304972,Backhand Tennis
-10505.6,2373.045435721786,5631344.6400000015,-10064.0,-13968,-7920,2155.52,-17443.2,2931.3711740412537,8592936.959999997,-17168.0,-22208,-13728,2448.640000000001,14848.0,1492.757984403366,2228326.4,14768.0,12768,16784,1312.0,25201.110324745616,Backhand Tennis
-21171.2,3707.658150369314,13746728.960000005,-23776.0,-24400,-16272,3618.56,-8576.0,11685.337958313401,136547123.20000002,-10720.0,-22464,8096,10611.2,14297.6,3768.475214194728,14201405.44,15248.0,8752,18576,3450.88,26947.891405451373,Backhand Tennis
-22284.8,1177.9912393562188,1387663.3600000006,-22704.0,-23904,-20640,1066.2400000000002,20569.6,7455.35173147451,55582269.44,17936.0,12992,32272,6840.32,13241.6,3595.333508869518,12926423.04,13584.0,7536,17024,3111.68,33091.7017658506,Backhand Tennis
-5840.0,3038.568083818429,9232895.999999998,-5168.0,-10656,-2064,2662.4,23545.6,4838.994672450053,23415869.44,22464.0,17792,31840,4043.52,4854.4,2153.069771280067,4635709.44,4608.0,2256,7312,1966.08,24739.96925462924,Backhand Tennis
649.6,1312.1014594916048,1721610.2399999998,48.0,-944,2608,1214.72,7139.2,4304.867124546355,18531880.96,5648.0,2480,14112,3882.24,1571.2,631.5765670130583,398888.9600000001,1664.0,880,2576,540.1600000000002,7338.8572843461125,Backhand Tennis
3148.8,87.28436286070948,7618.56,3184.0,2976,3216,69.11999999999989,-108.8,930.6114978872763,866037.76,32.0,-1264,1424,764.1600000000002,4556.8,957.7253050849183,917237.76,4784.0,3040,5744,842.24,5539.964360896198,Backhand Tennis
6258.666666666668,318.58576378879343,101496.88888888886,6224.0,5872,6720,285.3333333333333,1394.666666666667,216.52610825384446,46883.555555555555,1464.0,1040,1616,189.33333333333331,-3413.333333333333,544.1307032526488,296078.22222222225,-3464.0,-4160,-2592,496.0,7264.07929472139,Shake
3008.0,1729.3920319002282,2990796.8,3888.0,224,4912,1587.2,1571.2,579.6683189549003,336015.36000000004,1328.0,1040,2672,451.84,-6867.2,2367.619428877876,5605621.76,-6192.0,-10864,-4432,2071.04,7659.971885065897,Shake
-5257.6,2923.9421061300104,8549437.440000001,-4064.0,-9424,-1552,2705.92,5043.2,1402.220867053404,1966223.36,5024.0,3232,6928,1232.64,-18044.8,2782.2964903115558,7741173.760000002,-18832.0,-20928,-13360,2435.84,19459.985381289476,Shake
-13878.4,2114.171005382488,4469719.040000001,-14912.0,-15648,-9888,1707.52,2633.6,2594.67713598436,6732349.44,1248.0,0,6992,2353.92,-6982.4,7695.4351559869565,59219722.24000001,-8144.0,-16112,5296,6680.320000000002,15757.529796259309,Shake
-1209.6,8354.492195220486,69797539.84000002,1280.0,-14656,8192,7473.92,-9654.4,9388.843626347176,88150384.63999999,-12672.0,-19520,5056,8568.32,26736.0,6043.570864977095,36524748.79999999,28864.0,16816,32624,5446.4,28451.437002724484,Shake
